gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
620997275																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3216							Male	adult								Frozen Tissue - 1; Skin - 1								B-1282											2010-10-30				2010	10	30											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Bloomington													40.4841700000	-88.9936100000						40.4841700° N	88.9936100° W																																															Regulus satrapa							Regulus satrapa	Animalia	Chordata	Aves	Passeriformes	Regulidae		Regulus				satrapa										
620997274																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3215							Female	immature								Stomach Contents - 1; Frozen Tissue - 1; Skin - 1								ISU Campus B-1268											2010-09-25				2010	9	25											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Regulus calendula							Regulus calendula	Animalia	Chordata	Aves	Passeriformes	Regulidae		Regulus				calendula										
620997273																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3214							Female	immature								Skin - 1; Frozen Tissue - 1								ISU Campus B-1264											2010-09-29				2010	9	29											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Parkesia noveborancensis							Parkesia noveborancensis	Animalia	Chordata	Aves	Passeriformes	Parulidae		Parkesia				noveborancensis										
620997272																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3213							Male	immature								Skin - 1; Frozen Tissue - 1; Stomach Contents - 1								B-1288											2010-09-11				2010	9	11											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		heyworth													40.3133300000	-88.9736100000						40.3133300° N	88.9736100° W																																															Setophaga caerulescens							Setophaga caerulescens	Animalia	Chordata	Aves	Passeriformes	Parulidae		Setophaga				caerulescens										
620997271																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3212							Female	immature								Skel - 1; Stomach Contents - 1; Frozen Tissue - 1								ISU Campus B-1227											2005-09-20				2005	9	20											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Setophaga pensylvanica							Setophaga pensylvanica	Animalia	Chordata	Aves	Passeriformes	Parulidae		Setophaga				pensylvanica										
620997270																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3211							Female	immature								Stomach Contents - 1; Skin - 1; Frozen Tissue - 1								ISU Campus B-1278											2010-09-12				2010	9	12											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Setophaga pensylvanica							Setophaga pensylvanica	Animalia	Chordata	Aves	Passeriformes	Parulidae		Setophaga				pensylvanica										
620997269																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3210							Male	adult								Skin - 1; Skin - 1; Frozen Tissue - 1								B-1321											2006-05-16				2006	5	16											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Bloomington													40.4841700000	-88.9936100000						40.4841700° N	88.9936100° W																																															Geothlypis trichas							Geothlypis trichas	Animalia	Chordata	Aves	Passeriformes	Parulidae		Geothlypis				trichas										
620997268																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3209							Female	immature								Skin - 1; Frozen Tissue - 1; Stomach Contents - 1								ISU Campus B-1273											2010-08-27				2010	8	27											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Oreothlypis peregrina							Oreothlypis peregrina	Animalia	Chordata	Aves	Passeriformes	Parulidae		Oreothlypis				peregrina										
620997267																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3208							Male	adult								Frozen Tissue - 1; Skin - 1								ISU Campus B-1286											2010-05-14				2010	5	14											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Oreothlypis peregrina							Oreothlypis peregrina	Animalia	Chordata	Aves	Passeriformes	Parulidae		Oreothlypis				peregrina										
620997266																																							2012-06-05 00:00:00.0																				ISU	Birds			PreservedSpecimen					3207							Female	adult								Frozen Tissue - 1; Skin - 1; Stomach Contents - 1								ISU Campus B-1290											2010-09-23				2010	9	23											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Oreothlypis peregrina							Oreothlypis peregrina	Animalia	Chordata	Aves	Passeriformes	Parulidae		Oreothlypis				peregrina										
620997265																																							2012-06-05 00:00:00.0																				ISU	Birds			PreservedSpecimen					3206							Male	immature								Stomach Contents - 1; Skin - 1; Frozen Tissue - 1								ISU Campus B-1277											2010-09-21				2010	9	21											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Oreothlypis peregrina							Oreothlypis peregrina	Animalia	Chordata	Aves	Passeriformes	Parulidae		Oreothlypis				peregrina										
620997264																																							2012-06-05 00:00:00.0																				ISU	Birds			PreservedSpecimen					3205							Male	immature								Skin - 1; Stomach Contents - 1; Frozen Tissue - 1								ISU Campus B-1320											2004-09-09				2004	9	9											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Oreothlypis peregrina							Oreothlypis peregrina	Animalia	Chordata	Aves	Passeriformes	Parulidae		Oreothlypis				peregrina										
620997263																																							2012-06-05 00:00:00.0																				ISU	Birds			PreservedSpecimen					3204							Unknown	immature								Frozen Tissue - 1; Skin - 1								ISU Campus B-1322											2003-08-22				2003	8	22											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Oreothlypis peregrina							Oreothlypis peregrina	Animalia	Chordata	Aves	Passeriformes	Parulidae		Oreothlypis				peregrina										
620997262																																							2012-06-05 00:00:00.0																				ISU	Birds			PreservedSpecimen					3203							Female	immature								Stomach Contents - 1; Frozen Tissue - 1; Skin - 1								ISU Campus B-1257											2010-09-03				2010	9	3											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Oreothlypis peregrina							Oreothlypis peregrina	Animalia	Chordata	Aves	Passeriformes	Parulidae		Oreothlypis				peregrina										
620997261																																							2012-06-05 00:00:00.0																				ISU	Birds			PreservedSpecimen					3202							Male	adult								Skin - 1; Stomach Contents - 1; Frozen Tissue - 1								ISU Campus B-1261											2010-09-14				2010	9	14											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Vermivora pinus							Vermivora pinus	Animalia	Chordata	Aves	Passeriformes	Parulidae		Vermivora				pinus										
620997260																																							2012-06-05 00:00:00.0																				ISU	Birds			PreservedSpecimen					3201							Male	immature								Stomach Contents - 1; Skin - 1; Frozen Tissue - 1								ISU Campus B-1262											2010-09-12				2010	9	12											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Cardellina pusilla							Cardellina pusilla	Animalia	Chordata	Aves	Passeriformes	Parulidae		Cardellina				pusilla										
620997259																																							2012-06-05 00:00:00.0																				ISU	Birds			PreservedSpecimen					3200							Male	adult								Stomach Contents - 1; Skin - 1; Frozen Tissue - 1								B-1314											2005-05-26				2005	5	26											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Hudson													40.6058300000	-88.9872200000						40.6058300° N	88.9872200° W																																															Picoides pubescens							Picoides pubescens	Animalia	Chordata	Aves	Piciformes	Picidae		Picoides				pubescens										
620997258																																							2012-06-05 00:00:00.0																				ISU	Birds			PreservedSpecimen					3199							Male	immature								Frozen Tissue - 1; Skin - 1								ISU Campus B-1275											2010-10-18				2010	10	18											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Picoides pubescens							Picoides pubescens	Animalia	Chordata	Aves	Piciformes	Picidae		Picoides				pubescens										
620997257																																							2012-06-05 00:00:00.0																				ISU	Birds			PreservedSpecimen					3198							Female	immature								Skin - 1; Stomach Contents - 1; Frozen Tissue - 1								ISU Campus B-1267											2010-09-27				2010	9	27											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Sphyrapicus varius							Sphyrapicus varius	Animalia	Chordata	Aves	Piciformes	Picidae		Sphyrapicus				varius										
620997256																																							2012-06-05 00:00:00.0																				ISU	Birds			PreservedSpecimen					3197							Unknown	immature								Frozen Tissue - 1; Skin - 1								B-1293											2010-09-26				2010	9	26											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Bloomington													40.4841700000	-88.9936100000						40.4841700° N	88.9936100° W																																															Sphyrapicus varius							Sphyrapicus varius	Animalia	Chordata	Aves	Piciformes	Picidae		Sphyrapicus				varius										
620997255																																							2012-06-05 00:00:00.0																				ISU	Birds			PreservedSpecimen					3196							Female	immature								Frozen Tissue - 1; Skin - 1								ISU Campus B-1271											2010-10-09				2010	10	9											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Zonotrichia albicollis							Zonotrichia albicollis	Animalia	Chordata	Aves	Passeriformes	Emberizidae		Zonotrichia				albicollis										
