gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
620997285																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3226							MALE	Immature							PRESENT	Skin - 1; Frozen Tissue - 1							WILL-TV tower B-1323											2006-10-05T00:00:00				2006	10	5											Piatt, Illinois, United States of America	NORTH_AMERICA				US	Illinois	Piatt		Monticello																																																												Setophaga coronata (Linnaeus, 1766)							Setophaga coronata	Animalia	Chordata	Aves	Passeriformes	Parulidae		Setophaga	Setophaga			coronata			SPECIES				ACCEPTED			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.970Z								AMBIGUOUS_INSTITUTION		false	false	7341805	7341805	1	44	212	729	5263	2489984		7341805	Setophaga coronata	Setophaga coronata (Linnaeus, 1766)	Setophaga coronata		EML	2023-01-25T12:53:48.970Z	2023-01-08T01:50:22.457Z	false										LC	
620997284																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3225							MALE	Adult							PRESENT	Skin - 1; Frozen Tissue - 1							WILL-TV Tower B-1324											2006-10-05T00:00:00				2006	10	5											Piatt, Illinois, United States of America	NORTH_AMERICA				US	Illinois	Piatt		Monticello																																																												Setophaga coronata (Linnaeus, 1766)							Setophaga coronata	Animalia	Chordata	Aves	Passeriformes	Parulidae		Setophaga	Setophaga			coronata			SPECIES				ACCEPTED			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.970Z								AMBIGUOUS_INSTITUTION		false	false	7341805	7341805	1	44	212	729	5263	2489984		7341805	Setophaga coronata	Setophaga coronata (Linnaeus, 1766)	Setophaga coronata		EML	2023-01-25T12:53:48.970Z	2023-01-08T01:50:22.457Z	false										LC	
620997283																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3224							MALE	Immature							PRESENT	Stomach Contents - 1; Skin - 1; Frozen Tissue - 1							B-1280											2010-10-06T00:00:00				2010	10	6											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Bloomington									40.48417	-88.99361																																																		Setophaga coronata (Linnaeus, 1766)							Setophaga coronata	Animalia	Chordata	Aves	Passeriformes	Parulidae		Setophaga	Setophaga			coronata			SPECIES				ACCEPTED			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.970Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	7341805	7341805	1	44	212	729	5263	2489984		7341805	Setophaga coronata	Setophaga coronata (Linnaeus, 1766)	Setophaga coronata		EML	2023-01-25T12:53:48.970Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			LC	
620997282																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3223							MALE	Immature							PRESENT	Frozen Tissue - 1; Skin - 1							B-1289											2010-10-22T00:00:00				2010	10	22											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Bloomington									40.48417	-88.99361																																																		Setophaga coronata (Linnaeus, 1766)							Setophaga coronata	Animalia	Chordata	Aves	Passeriformes	Parulidae		Setophaga	Setophaga			coronata			SPECIES				ACCEPTED			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.970Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	7341805	7341805	1	44	212	729	5263	2489984		7341805	Setophaga coronata	Setophaga coronata (Linnaeus, 1766)	Setophaga coronata		EML	2023-01-25T12:53:48.970Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			LC	
620997281																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3222							FEMALE	Immature							PRESENT	Skin - 1; Frozen Tissue - 1; Stomach Contents - 1							ISU Campus B-1272											2010-09-27T00:00:00				2010	9	27											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Normal									40.51417	-88.99056																																																		Oreothlypis ruficapilla (A.Wilson, 1811)							Oreothlypis ruficapilla	Animalia	Chordata	Aves	Passeriformes	Parulidae		Leiothlypis	Oreothlypis			ruficapilla			SPECIES				SYNONYM			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.970Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	6093694	7531611	1	44	212	729	5263	7467942		7531611	Leiothlypis ruficapilla	Leiothlypis ruficapilla (A.Wilson, 1811)	Oreothlypis ruficapilla		EML	2023-01-25T12:53:48.970Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			NE	
620997280																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3221							MALE	Immature							PRESENT	Stomach Contents - 1; Frozen Tissue - 1; Skin - 1							ISU Campus B-1287											2010-09-27T00:00:00				2010	9	27											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Normal									40.51417	-88.99056																																																		Oreothlypis ruficapilla (A.Wilson, 1811)							Oreothlypis ruficapilla	Animalia	Chordata	Aves	Passeriformes	Parulidae		Leiothlypis	Oreothlypis			ruficapilla			SPECIES				SYNONYM			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.970Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	6093694	7531611	1	44	212	729	5263	7467942		7531611	Leiothlypis ruficapilla	Leiothlypis ruficapilla (A.Wilson, 1811)	Oreothlypis ruficapilla		EML	2023-01-25T12:53:48.970Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			NE	
620997279																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3220							MALE	Immature							PRESENT	Frozen Tissue - 1; Skin - 1; Stomach Contents - 1							ISU Campus B-1285											2010-09-15T00:00:00				2010	9	15											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Normal									40.51417	-88.99056																																																		Oreothlypis ruficapilla (A.Wilson, 1811)							Oreothlypis ruficapilla	Animalia	Chordata	Aves	Passeriformes	Parulidae		Leiothlypis	Oreothlypis			ruficapilla			SPECIES				SYNONYM			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.970Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	6093694	7531611	1	44	212	729	5263	7467942		7531611	Leiothlypis ruficapilla	Leiothlypis ruficapilla (A.Wilson, 1811)	Oreothlypis ruficapilla		EML	2023-01-25T12:53:48.970Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			NE	
620997278																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3219							MALE	Adult							PRESENT	Skin - 1; Stomach Contents - 1; Frozen Tissue - 1							B-1228											2009-04-24T00:00:00				2009	4	24											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Hudson									40.60583	-88.98722																																																		Parula americana (Linnaeus, 1758)							Parula americana	Animalia	Chordata	Aves	Passeriformes	Parulidae		Setophaga	Parula			americana			SPECIES				SYNONYM			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.970Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	2489730	6093345	1	44	212	729	5263	2489984		6093345	Setophaga americana	Setophaga americana (Linnaeus, 1758)	Parula americana		EML	2023-01-25T12:53:48.970Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			LC	
620997277																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3218							FEMALE	Immature							PRESENT	Skin - 1; Frozen Tissue - 1							ISU Campus B-1229											2009-09-26T00:00:00				2009	9	26											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Normal									40.51417	-88.99056																																																		Parula americana (Linnaeus, 1758)							Parula americana	Animalia	Chordata	Aves	Passeriformes	Parulidae		Setophaga	Parula			americana			SPECIES				SYNONYM			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.971Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	2489730	6093345	1	44	212	729	5263	2489984		6093345	Setophaga americana	Setophaga americana (Linnaeus, 1758)	Parula americana		EML	2023-01-25T12:53:48.971Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			LC	
620997276																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3217							MALE	Immature							PRESENT	Frozen Tissue - 1; Skin - 1; Stomach Contents - 1							ISU Campus B-1269											2010-10-01T00:00:00				2010	10	1											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Normal									40.51417	-88.99056																																																		Regulus satrapa Lichtenstein, 1823							Regulus satrapa	Animalia	Chordata	Aves	Passeriformes	Regulidae		Regulus	Regulus			satrapa			SPECIES				ACCEPTED			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.971Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	2484591	2484591	1	44	212	729	5279	2484589		2484591	Regulus satrapa	Regulus satrapa Lichtenstein, 1823	Regulus satrapa		EML	2023-01-25T12:53:48.971Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			LC	
